﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,130.5093,"[""diamond"",""red"",""vert"",""up"",[-150,0],[106,-106]]",diamond,red,vert,up,"[-150,0]","[106,-106]",,0,0,0,0,0,1,001,2025-03-10_16h54.38.962,SL_sali_41,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[150,0]]",circle,no_dis,hori,left,"[99999,99999]","[150,0]",,0,1,0,1,0,1,001,2025-03-10_16h54.38.962,SL_sali_41,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[150,0],[106,106]]",diamond,green,hori,left,"[150,0]","[106,106]",,0,2,0,2,0,1,001,2025-03-10_16h54.38.962,SL_sali_41,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[-106,-106]]",diamond,no_dis,hori,left,"[99999,99999]","[-106,-106]",,0,3,0,3,0,1,001,2025-03-10_16h54.38.962,SL_sali_41,2021.2.3,Win32,60.97560976,,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-106,106],[-106,-106]]",circle,red,vert,up,"[-106,106]","[-106,-106]",left,0,4,0,4,0,1,001,2025-03-10_16h54.38.962,SL_sali_41,2021.2.3,Win32,60.97560976,1.8733,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",diamond,no_dis,vert,up,"[99999,99999]","[0,-150]",up,1,5,0,5,0,1,001,2025-03-10_16h54.38.962,SL_sali_41,2021.2.3,Win32,60.97560976,2.0619,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[150,0],[-106,106]]",diamond,red,vert,up,"[150,0]","[-106,106]",left,0,6,0,6,0,1,001,2025-03-10_16h54.38.962,SL_sali_41,2021.2.3,Win32,60.97560976,2.4523,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[150,0],[0,-150]]",diamond,red,vert,up,"[150,0]","[0,-150]",up,1,7,0,7,0,1,001,2025-03-10_16h54.38.962,SL_sali_41,2021.2.3,Win32,60.97560976,1.0547,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-106,106],[0,-150]]",circle,red,vert,up,"[-106,106]","[0,-150]",left,0,8,0,8,0,1,001,2025-03-10_16h54.38.962,SL_sali_41,2021.2.3,Win32,60.97560976,1.0375,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[-106,106],[-150,0]]",diamond,green,vert,up,"[-106,106]","[-150,0]",left,0,9,0,9,0,1,001,2025-03-10_16h54.38.962,SL_sali_41,2021.2.3,Win32,60.97560976,2.9388,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-150,0],[106,-106]]",diamond,red,vert,up,"[-150,0]","[106,-106]",up,1,,,,,,001,2025-03-10_16h54.38.962,SL_sali_41,2021.2.3,Win32,60.97560976,1.6295,space,19.5957,0,0,0,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[150,0]]",circle,no_dis,hori,left,"[99999,99999]","[150,0]",,0,,,,,,001,2025-03-10_16h54.38.962,SL_sali_41,2021.2.3,Win32,60.97560976,,,,1,0,1,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[150,0],[106,106]]",diamond,green,hori,left,"[150,0]","[106,106]",,0,,,,,,001,2025-03-10_16h54.38.962,SL_sali_41,2021.2.3,Win32,60.97560976,,,,2,0,2,0,1,,,,,,,,
