﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,17.8289,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[-106,-106]]",diamond,no_dis,hori,left,"[99999,99999]","[-106,-106]",,0,0,0,0,0,1,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[106,-106]]",circle,no_dis,vert,up,"[99999,99999]","[106,-106]",up,1,1,0,1,0,1,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,0.9244,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,-150],[150,0]]",circle,red,hori,left,"[0,-150]","[150,0]",left,1,2,0,2,0,1,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,1.1804,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[0,150]]",diamond,no_dis,vert,up,"[99999,99999]","[0,150]",up,1,3,0,3,0,1,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,0.9264,,,,,,,,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[-106,-106],[-150,0]]",circle,green,hori,left,"[-106,-106]","[-150,0]",left,1,4,0,4,0,1,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,1.6632,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",diamond,no_dis,vert,up,"[99999,99999]","[0,-150]",up,1,5,0,5,0,1,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,2.0056,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[150,0],[106,-106]]",diamond,red,vert,up,"[150,0]","[106,-106]",left,0,6,0,6,0,1,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,1.7773,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[0,-150],[106,106]]",diamond,red,hori,left,"[0,-150]","[106,106]",left,1,7,0,7,0,1,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,1.2883,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[150,0],[106,-106]]",diamond,red,vert,up,"[150,0]","[106,-106]",left,0,8,0,8,0,1,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,1.6328,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-150,0],[-106,106]]",circle,red,vert,up,"[-150,0]","[-106,106]",up,1,9,0,9,0,1,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,1.0971,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[-106,-106]]",diamond,no_dis,hori,left,"[99999,99999]","[-106,-106]",left,1,,,,,,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,1.67,space,79.0762,0,0,0,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[106,-106]]",circle,no_dis,vert,up,"[99999,99999]","[106,-106]",up,1,,,,,,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,0.6706,,,1,0,1,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,-150],[150,0]]",circle,red,hori,left,"[0,-150]","[150,0]",left,1,,,,,,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,1.1279,,,2,0,2,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[0,150]]",diamond,no_dis,vert,up,"[99999,99999]","[0,150]",up,1,,,,,,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,0.8023,,,3,0,3,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[-106,-106],[-150,0]]",circle,green,hori,left,"[-106,-106]","[-150,0]",left,1,,,,,,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,0.861,,,4,0,4,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",diamond,no_dis,vert,up,"[99999,99999]","[0,-150]",up,1,,,,,,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,0.8419,,,5,0,5,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[150,0],[106,-106]]",diamond,red,vert,up,"[150,0]","[106,-106]",left,0,,,,,,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,0.8895,,,6,0,6,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[0,-150],[106,106]]",diamond,red,hori,left,"[0,-150]","[106,106]",left,1,,,,,,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,1.2407,,,7,0,7,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[150,0],[106,-106]]",diamond,red,vert,up,"[150,0]","[106,-106]",up,1,,,,,,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,1.5075,,,8,0,8,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-150,0],[-106,106]]",circle,red,vert,up,"[-150,0]","[-106,106]",up,1,,,,,,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,0.9947,,,9,0,9,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[0,-150]]",diamond,no_dis,hori,left,"[99999,99999]","[0,-150]",left,1,,,,,,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,0.7265,,,10,0,10,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[-106,-106],[-150,0]]",diamond,red,hori,left,"[-106,-106]","[-150,0]",left,1,,,,,,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,0.9532,,,11,0,11,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[150,0],[106,-106]]",diamond,green,vert,up,"[150,0]","[106,-106]",up,1,,,,,,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,1.3261,,,12,0,12,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[-106,106],[106,106]]",circle,green,hori,left,"[-106,106]","[106,106]",left,1,,,,,,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,0.8821,,,13,0,13,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[150,0],[-106,-106]]",circle,green,hori,left,"[150,0]","[-106,-106]",left,1,,,,,,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,1.1839,,,14,0,14,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[106,106],[106,-106]]",circle,red,hori,left,"[106,106]","[106,-106]",left,1,,,,,,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,1.208,,,15,0,15,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[150,0],[0,150]]",circle,green,vert,up,"[150,0]","[0,150]",up,1,,,,,,001,2025-03-11_18h43.31.040,SL_sali_41,2021.2.3,Win32,59.17159763,0.8646,,,16,0,16,0,1,,,,,,,,
