﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,30.5192,"[""diamond"",""green"",""hori"",""left"",[-150,0],[0,150]]",diamond,green,hori,left,"[-150,0]","[0,150]",,0,0,0,0,0,1,001,2025-03-10_16h59.17.470,SL_sali_41,2021.2.3,Win32,144.1545337,,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[150,0]]",diamond,no_dis,hori,left,"[99999,99999]","[150,0]",left,1,1,0,1,0,1,001,2025-03-10_16h59.17.470,SL_sali_41,2021.2.3,Win32,144.1545337,2.7868,,,,,,,,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[-106,106],[0,150]]",circle,green,hori,left,"[-106,106]","[0,150]",,0,2,0,2,0,1,001,2025-03-10_16h59.17.470,SL_sali_41,2021.2.3,Win32,144.1545337,,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[-150,0]]",diamond,no_dis,hori,left,"[99999,99999]","[-150,0]",,0,3,0,3,0,1,001,2025-03-10_16h59.17.470,SL_sali_41,2021.2.3,Win32,144.1545337,,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,150],[150,0]]",circle,red,hori,left,"[0,150]","[150,0]",left,1,4,0,4,0,1,001,2025-03-10_16h59.17.470,SL_sali_41,2021.2.3,Win32,144.1545337,2.3615,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,150],[-106,-106]]",circle,red,hori,left,"[0,150]","[-106,-106]",left,1,5,0,5,0,1,001,2025-03-10_16h59.17.470,SL_sali_41,2021.2.3,Win32,144.1545337,1.1188,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[106,106]]",circle,no_dis,vert,up,"[99999,99999]","[106,106]",up,1,6,0,6,0,1,001,2025-03-10_16h59.17.470,SL_sali_41,2021.2.3,Win32,144.1545337,2.6482,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[106,-106],[-150,0]]",diamond,red,hori,left,"[106,-106]","[-150,0]",up,0,7,0,7,0,1,001,2025-03-10_16h59.17.470,SL_sali_41,2021.2.3,Win32,144.1545337,1.9862,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-106,106],[106,-106]]",diamond,red,vert,up,"[-106,106]","[106,-106]",up,1,8,0,8,0,1,001,2025-03-10_16h59.17.470,SL_sali_41,2021.2.3,Win32,144.1545337,2.8603,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[-106,106],[0,150]]",diamond,green,hori,left,"[-106,106]","[0,150]",up,0,9,0,9,0,1,001,2025-03-10_16h59.17.470,SL_sali_41,2021.2.3,Win32,144.1545337,1.1246,,,,,,,,,,,,,,,
