﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,35.5074,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[106,-106]]",circle,no_dis,hori,left,"[99999,99999]","[106,-106]",,0,0,0,0,0,1,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[0,-150],[106,106]]",diamond,green,hori,left,"[0,-150]","[106,106]",left,1,1,0,1,0,1,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,2.2336,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",diamond,no_dis,vert,up,"[99999,99999]","[0,-150]",up,1,2,0,2,0,1,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,2.012,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[106,106]]",circle,no_dis,vert,up,"[99999,99999]","[106,106]",up,1,3,0,3,0,1,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.2955,,,,,,,,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[0,-150],[0,150]]",circle,green,vert,up,"[0,-150]","[0,150]",up,1,4,0,4,0,1,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.1175,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[0,-150],[0,150]]",diamond,green,vert,up,"[0,-150]","[0,150]",left,0,5,0,5,0,1,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,0.9109,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[106,106]]",diamond,no_dis,vert,up,"[99999,99999]","[106,106]",up,1,6,0,6,0,1,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.7671,,,,,,,,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[0,-150],[-106,106]]",circle,green,hori,left,"[0,-150]","[-106,106]",left,1,7,0,7,0,1,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.9846,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[-106,-106],[106,-106]]",diamond,green,hori,left,"[-106,-106]","[106,-106]",left,1,8,0,8,0,1,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.5349,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[-106,106],[106,-106]]",diamond,red,hori,left,"[-106,106]","[106,-106]",left,1,9,0,9,0,1,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.1452,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[106,-106]]",circle,no_dis,hori,left,"[99999,99999]","[106,-106]",left,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.0126,space,7.3167,0,0,0,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[0,-150],[106,106]]",diamond,green,hori,left,"[0,-150]","[106,106]",left,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.1354,,,1,0,1,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",diamond,no_dis,vert,up,"[99999,99999]","[0,-150]",up,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.119,,,2,0,2,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[106,106]]",circle,no_dis,vert,up,"[99999,99999]","[106,106]",up,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.1339,,,3,0,3,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[0,-150],[0,150]]",circle,green,vert,up,"[0,-150]","[0,150]",up,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,0.9279,,,4,0,4,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[0,-150],[0,150]]",diamond,green,vert,up,"[0,-150]","[0,150]",left,0,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.123,,,5,0,5,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[106,106]]",diamond,no_dis,vert,up,"[99999,99999]","[106,106]",up,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.1741,,,6,0,6,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[0,-150],[-106,106]]",circle,green,hori,left,"[0,-150]","[-106,106]",left,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,0.9994,,,7,0,7,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[-106,-106],[106,-106]]",diamond,green,hori,left,"[-106,-106]","[106,-106]",left,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.1541,,,8,0,8,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[-106,106],[106,-106]]",diamond,red,hori,left,"[-106,106]","[106,-106]",left,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.0009,,,9,0,9,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[106,-106]]",diamond,no_dis,hori,left,"[99999,99999]","[106,-106]",left,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.1542,,,10,0,10,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[-106,106]]",diamond,no_dis,hori,left,"[99999,99999]","[-106,106]",left,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,0.9672,,,11,0,11,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",circle,no_dis,vert,up,"[99999,99999]","[0,-150]",up,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.2233,,,12,0,12,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[106,106]]",diamond,no_dis,hori,left,"[99999,99999]","[106,106]",left,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.0999,,,13,0,13,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[0,150]]",circle,no_dis,vert,up,"[99999,99999]","[0,150]",up,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,0.929,,,14,0,14,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[-106,-106],[106,-106]]",diamond,red,hori,left,"[-106,-106]","[106,-106]",up,0,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.1216,,,15,0,15,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[0,150]]",circle,no_dis,hori,left,"[99999,99999]","[0,150]",left,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,0.862,,,16,0,16,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[106,106],[0,-150]]",diamond,green,hori,left,"[106,106]","[0,-150]",left,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.1502,,,17,0,17,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[-106,106],[-106,-106]]",diamond,green,hori,left,"[-106,106]","[-106,-106]",left,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.2678,,,18,0,18,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[0,-150],[-106,106]]",diamond,red,vert,up,"[0,-150]","[-106,106]",up,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,0.9869,,,19,0,19,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[150,0],[-150,0]]",circle,red,vert,up,"[150,0]","[-150,0]",left,0,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.2425,,,20,0,20,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[-106,106],[0,150]]",diamond,green,hori,left,"[-106,106]","[0,150]",left,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.2457,,,21,0,21,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[106,-106],[150,0]]",diamond,red,vert,up,"[106,-106]","[150,0]",up,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,0.8798,,,22,0,22,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[-150,0]]",circle,no_dis,hori,left,"[99999,99999]","[-150,0]",up,0,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.3736,,,23,0,23,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,-150],[106,-106]]",circle,red,hori,left,"[0,-150]","[106,-106]",left,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.2513,,,24,0,24,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[150,0],[106,106]]",diamond,green,hori,left,"[150,0]","[106,106]",up,0,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.3167,,,25,0,25,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[-150,0],[0,150]]",circle,red,hori,left,"[-150,0]","[0,150]",left,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.2339,,,26,0,26,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[0,-150],[150,0]]",circle,green,vert,up,"[0,-150]","[150,0]",up,1,,,,,,001,2025-03-10_21h27.08.705,SL_base_41,2021.2.3,Win32,59.88023952,1.6789,,,27,0,27,0,1,,,,,,,,
