﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,22.5595,"[""circle"",""red"",""hori"",""left"",[0,150],[-150,0]]",circle,red,hori,left,"[0,150]","[-150,0]",,0,0,0,0,0,1,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[0,150],[106,106]]",diamond,green,hori,left,"[0,150]","[106,106]",,0,1,0,1,0,1,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-150,0],[0,150]]",circle,red,vert,up,"[-150,0]","[0,150]",,0,2,0,2,0,1,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[106,-106],[-150,0]]",diamond,green,vert,up,"[106,-106]","[-150,0]",,0,3,0,3,0,1,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[-106,-106],[106,106]]",circle,green,hori,left,"[-106,-106]","[106,106]",,0,4,0,4,0,1,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[106,-106],[106,106]]",circle,red,hori,left,"[106,-106]","[106,106]",up,0,5,0,5,0,1,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,1.6223,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[-150,0],[0,-150]]",diamond,green,vert,up,"[-150,0]","[0,-150]",up,1,6,0,6,0,1,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,1.1673,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[-150,0]]",circle,no_dis,hori,left,"[99999,99999]","[-150,0]",,0,7,0,7,0,1,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[0,-150],[106,-106]]",diamond,red,hori,left,"[0,-150]","[106,-106]",,0,8,0,8,0,1,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[-106,-106]]",circle,no_dis,hori,left,"[99999,99999]","[-106,-106]",up,0,9,0,9,0,1,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,2.7306,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,150],[-150,0]]",circle,red,hori,left,"[0,150]","[-150,0]",,0,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,,space,6.3874,0,0,0,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[0,150],[106,106]]",diamond,green,hori,left,"[0,150]","[106,106]",up,0,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,2.2362,,,1,0,1,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-150,0],[0,150]]",circle,red,vert,up,"[-150,0]","[0,150]",up,1,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,2.1567,,,2,0,2,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[106,-106],[-150,0]]",diamond,green,vert,up,"[106,-106]","[-150,0]",up,1,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,1.4106,,,3,0,3,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[-106,-106],[106,106]]",circle,green,hori,left,"[-106,-106]","[106,106]",left,1,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,2.0296,,,4,0,4,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[106,-106],[106,106]]",circle,red,hori,left,"[106,-106]","[106,106]",up,0,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,1.2048,,,5,0,5,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[-150,0],[0,-150]]",diamond,green,vert,up,"[-150,0]","[0,-150]",up,1,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,1.0197,,,6,0,6,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[-150,0]]",circle,no_dis,hori,left,"[99999,99999]","[-150,0]",left,1,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,2.3201,,,7,0,7,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[0,-150],[106,-106]]",diamond,red,hori,left,"[0,-150]","[106,-106]",left,1,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,1.5448,,,8,0,8,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[-106,-106]]",circle,no_dis,hori,left,"[99999,99999]","[-106,-106]",left,1,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,2.0532,,,9,0,9,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[106,106],[-150,0]]",diamond,green,hori,left,"[106,106]","[-150,0]",up,0,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,0.7983,,,10,0,10,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[150,0]]",circle,no_dis,vert,up,"[99999,99999]","[150,0]",left,0,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,1.0396,,,11,0,11,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[106,-106]]",diamond,no_dis,hori,left,"[99999,99999]","[106,-106]",up,0,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,2.0711,,,12,0,12,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[150,0]]",circle,no_dis,vert,up,"[99999,99999]","[150,0]",up,1,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,2.9634,,,13,0,13,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[106,106],[-150,0]]",circle,green,vert,up,"[106,106]","[-150,0]",left,0,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,0.9305,,,14,0,14,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[106,106],[-106,106]]",diamond,green,hori,left,"[106,106]","[-106,106]",left,1,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,2.3621,,,15,0,15,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[106,-106],[-150,0]]",circle,green,hori,left,"[106,-106]","[-150,0]",up,0,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,2.2636,,,16,0,16,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[0,-150]]",circle,no_dis,hori,left,"[99999,99999]","[0,-150]",,0,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,,,,17,0,17,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[150,0]]",diamond,no_dis,vert,up,"[99999,99999]","[150,0]",up,1,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,1.8178,,,18,0,18,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[0,-150],[0,150]]",diamond,green,hori,left,"[0,-150]","[0,150]",left,1,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,1.8382,,,19,0,19,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[106,106]]",diamond,no_dis,hori,left,"[99999,99999]","[106,106]",left,1,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,1.9948,,,20,0,20,0,1,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[106,106],[-106,106]]",circle,green,hori,left,"[106,106]","[-106,106]",up,0,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,1.1431,,,21,0,21,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[106,106],[-106,-106]]",diamond,red,vert,up,"[106,106]","[-106,-106]",up,1,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,1.8927,,,22,0,22,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[106,106],[150,0]]",diamond,red,vert,up,"[106,106]","[150,0]",up,1,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,2.1104,,,23,0,23,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[150,0]]",circle,no_dis,vert,up,"[99999,99999]","[150,0]",left,0,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,2.2342,,,24,0,24,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[0,150],[-106,-106]]",diamond,red,hori,left,"[0,150]","[-106,-106]",left,1,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,1.9846,,,25,0,25,0,1,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[106,106],[106,-106]]",circle,green,vert,up,"[106,106]","[106,-106]",left,0,,,,,,001,2025-03-17_12h44.40.837,SL_base_41,2021.2.3,Win32,59.88023952,1.4947,,,26,0,26,0,1,,,,,,,,
