﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,58.0636,"[""diamond"",""green"",""vert"",""up"",[106,-106],[-106,-106]]",diamond,green,vert,up,"[106,-106]","[-106,-106]",,0,0,0,0,0,1,001,2025-03-17_12h33.35.249,SL_sali,2021.2.3,Win32,60.09615385,,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-106,-106]]",diamond,no_dis,vert,up,"[99999,99999]","[-106,-106]",up,1,1,0,1,0,1,001,2025-03-17_12h33.35.249,SL_sali,2021.2.3,Win32,60.09615385,2.4559,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[0,150],[-106,-106]]",diamond,green,hori,left,"[0,150]","[-106,-106]",left,1,2,0,2,0,1,001,2025-03-17_12h33.35.249,SL_sali,2021.2.3,Win32,60.09615385,1.0569,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-150,0],[106,106]]",diamond,red,vert,up,"[-150,0]","[106,106]",up,1,3,0,3,0,1,001,2025-03-17_12h33.35.249,SL_sali,2021.2.3,Win32,60.09615385,1.5624,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-150,0]]",diamond,no_dis,vert,up,"[99999,99999]","[-150,0]",up,1,4,0,4,0,1,001,2025-03-17_12h33.35.249,SL_sali,2021.2.3,Win32,60.09615385,2.3627,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[0,-150]]",diamond,no_dis,hori,left,"[99999,99999]","[0,-150]",left,1,5,0,5,0,1,001,2025-03-17_12h33.35.249,SL_sali,2021.2.3,Win32,60.09615385,1.8693,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[106,106],[-106,-106]]",diamond,green,vert,up,"[106,106]","[-106,-106]",left,0,6,0,6,0,1,001,2025-03-17_12h33.35.249,SL_sali,2021.2.3,Win32,60.09615385,2.0577,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[150,0]]",circle,no_dis,hori,left,"[99999,99999]","[150,0]",left,1,7,0,7,0,1,001,2025-03-17_12h33.35.249,SL_sali,2021.2.3,Win32,60.09615385,1.7755,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[106,106]]",circle,no_dis,hori,left,"[99999,99999]","[106,106]",left,1,8,0,8,0,1,001,2025-03-17_12h33.35.249,SL_sali,2021.2.3,Win32,60.09615385,2.101,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[0,-150],[-106,106]]",circle,red,vert,up,"[0,-150]","[-106,106]",left,0,9,0,9,0,1,001,2025-03-17_12h33.35.249,SL_sali,2021.2.3,Win32,60.09615385,1.0723,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[106,-106],[-106,-106]]",diamond,green,vert,up,"[106,-106]","[-106,-106]",left,0,,,,,,001,2025-03-17_12h33.35.249,SL_sali,2021.2.3,Win32,60.09615385,2.4565,space,25.6676,0,0,0,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-106,-106]]",diamond,no_dis,vert,up,"[99999,99999]","[-106,-106]",up,1,,,,,,001,2025-03-17_12h33.35.249,SL_sali,2021.2.3,Win32,60.09615385,2.7558,,,1,0,1,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[0,150],[-106,-106]]",diamond,green,hori,left,"[0,150]","[-106,-106]",,0,,,,,,001,2025-03-17_12h33.35.249,SL_sali,2021.2.3,Win32,60.09615385,,,,2,0,2,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-150,0],[106,106]]",diamond,red,vert,up,"[-150,0]","[106,106]",,0,,,,,,001,2025-03-17_12h33.35.249,SL_sali,2021.2.3,Win32,60.09615385,,,,3,0,3,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-150,0]]",diamond,no_dis,vert,up,"[99999,99999]","[-150,0]",up,1,,,,,,001,2025-03-17_12h33.35.249,SL_sali,2021.2.3,Win32,60.09615385,2.1367,,,4,0,4,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[0,-150]]",diamond,no_dis,hori,left,"[99999,99999]","[0,-150]",left,1,,,,,,001,2025-03-17_12h33.35.249,SL_sali,2021.2.3,Win32,60.09615385,1.6878,,,5,0,5,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[106,106],[-106,-106]]",diamond,green,vert,up,"[106,106]","[-106,-106]",up,1,,,,,,001,2025-03-17_12h33.35.249,SL_sali,2021.2.3,Win32,60.09615385,2.9518,,,6,0,6,0,1,,,,,,,,
