﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,24.2768,"[""diamond"",""green"",""vert"",""up"",[0,-150],[106,106]]",diamond,green,vert,up,"[0,-150]","[106,106]",,0,0,0,0,0,1,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[-106,-106],[0,-150]]",circle,red,hori,left,"[-106,-106]","[0,-150]",left,1,1,0,1,0,1,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,2.4912,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[106,106],[0,-150]]",diamond,red,vert,up,"[106,106]","[0,-150]",up,1,2,0,2,0,1,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,2.6798,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[106,-106]]",circle,no_dis,vert,up,"[99999,99999]","[106,-106]",up,1,3,0,3,0,1,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,2.0832,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[0,-150],[0,150]]",diamond,red,hori,left,"[0,-150]","[0,150]",left,1,4,0,4,0,1,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,1.7313,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[-150,0],[106,106]]",diamond,green,vert,up,"[-150,0]","[106,106]",up,1,5,0,5,0,1,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,1.143,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-106,-106]]",diamond,no_dis,vert,up,"[99999,99999]","[-106,-106]",up,1,6,0,6,0,1,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,1.7189,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[150,0],[-106,-106]]",diamond,red,hori,left,"[150,0]","[-106,-106]",left,1,7,0,7,0,1,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,1.7657,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[0,150],[106,106]]",circle,red,vert,up,"[0,150]","[106,106]",up,1,8,0,8,0,1,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,1.5599,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[0,-150]]",circle,no_dis,hori,left,"[99999,99999]","[0,-150]",left,1,9,0,9,0,1,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,1.8686,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[0,-150],[106,106]]",diamond,green,vert,up,"[0,-150]","[106,106]",up,1,,,,,,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,1.3144,space,3.7811,0,0,0,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[-106,-106],[0,-150]]",circle,red,hori,left,"[-106,-106]","[0,-150]",left,1,,,,,,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,1.4335,,,1,0,1,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[106,106],[0,-150]]",diamond,red,vert,up,"[106,106]","[0,-150]",up,1,,,,,,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,1.2075,,,2,0,2,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[106,-106]]",circle,no_dis,vert,up,"[99999,99999]","[106,-106]",left,0,,,,,,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,1.2161,,,3,0,3,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[0,-150],[0,150]]",diamond,red,hori,left,"[0,-150]","[0,150]",left,1,,,,,,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,1.5476,,,4,0,4,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[-150,0],[106,106]]",diamond,green,vert,up,"[-150,0]","[106,106]",up,1,,,,,,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,2.3043,,,5,0,5,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-106,-106]]",diamond,no_dis,vert,up,"[99999,99999]","[-106,-106]",up,1,,,,,,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,1.4317,,,6,0,6,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[150,0],[-106,-106]]",diamond,red,hori,left,"[150,0]","[-106,-106]",left,1,,,,,,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,1.9509,,,7,0,7,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[0,150],[106,106]]",circle,red,vert,up,"[0,150]","[106,106]",up,1,,,,,,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,1.4508,,,8,0,8,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[0,-150]]",circle,no_dis,hori,left,"[99999,99999]","[0,-150]",left,1,,,,,,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,1.259,,,9,0,9,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[150,0],[106,-106]]",diamond,green,hori,left,"[150,0]","[106,-106]",left,1,,,,,,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,1.4628,,,10,0,10,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-106,106]]",diamond,no_dis,vert,up,"[99999,99999]","[-106,106]",up,1,,,,,,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,0.8758,,,11,0,11,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[0,-150],[-150,0]]",diamond,red,vert,up,"[0,-150]","[-150,0]",left,0,,,,,,001,2025-03-10_20h14.58.170,SL_sali,2021.2.3,Win32,59.88023952,1.7713,,,12,0,12,0,1,,,,,,,,
