﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,17.9579,"[""diamond"",""green"",""hori"",""left"",[0,150],[-106,106]]",diamond,green,hori,left,"[0,150]","[-106,106]",,0,0,0,0,0,1,001,2025-03-17_14h23.32.655,SL_sali,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[106,-106]]",circle,no_dis,vert,up,"[99999,99999]","[106,-106]",up,1,1,0,1,0,1,001,2025-03-17_14h23.32.655,SL_sali,2021.2.3,Win32,60.24096386,2.5124,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[0,150],[106,-106]]",circle,red,vert,up,"[0,150]","[106,-106]",up,1,2,0,2,0,1,001,2025-03-17_14h23.32.655,SL_sali,2021.2.3,Win32,60.24096386,1.2318,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[-106,106],[0,-150]]",circle,red,hori,left,"[-106,106]","[0,-150]",up,0,3,0,3,0,1,001,2025-03-17_14h23.32.655,SL_sali,2021.2.3,Win32,60.24096386,1.6308,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[-106,106]]",circle,no_dis,hori,left,"[99999,99999]","[-106,106]",left,1,4,0,4,0,1,001,2025-03-17_14h23.32.655,SL_sali,2021.2.3,Win32,60.24096386,1.4611,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[0,-150]]",diamond,no_dis,hori,left,"[99999,99999]","[0,-150]",left,1,5,0,5,0,1,001,2025-03-17_14h23.32.655,SL_sali,2021.2.3,Win32,60.24096386,1.6117,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[106,106]]",circle,no_dis,hori,left,"[99999,99999]","[106,106]",left,1,6,0,6,0,1,001,2025-03-17_14h23.32.655,SL_sali,2021.2.3,Win32,60.24096386,1.1,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,150],[-106,106]]",circle,red,hori,left,"[0,150]","[-106,106]",left,1,7,0,7,0,1,001,2025-03-17_14h23.32.655,SL_sali,2021.2.3,Win32,60.24096386,2.3008,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[-106,106],[150,0]]",diamond,green,hori,left,"[-106,106]","[150,0]",left,1,8,0,8,0,1,001,2025-03-17_14h23.32.655,SL_sali,2021.2.3,Win32,60.24096386,1.8033,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-106,-106]]",diamond,no_dis,vert,up,"[99999,99999]","[-106,-106]",up,1,9,0,9,0,1,001,2025-03-17_14h23.32.655,SL_sali,2021.2.3,Win32,60.24096386,1.2315,,,,,,,,,,,,,,,
