﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,34.4963,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[0,-150]]",diamond,no_dis,hori,left,"[99999,99999]","[0,-150]",,0,0,0,0,0,1,Arya,2025-03-17_12h11.36.680,SL_base,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[106,-106],[0,150]]",diamond,red,vert,up,"[106,-106]","[0,150]",up,1,1,0,1,0,1,Arya,2025-03-17_12h11.36.680,SL_base,2021.2.3,Win32,59.88023952,1.4789,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[106,106]]",diamond,no_dis,hori,left,"[99999,99999]","[106,106]",,0,2,0,2,0,1,Arya,2025-03-17_12h11.36.680,SL_base,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[106,-106]]",diamond,no_dis,hori,left,"[99999,99999]","[106,-106]",,0,3,0,3,0,1,Arya,2025-03-17_12h11.36.680,SL_base,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[150,0]]",circle,no_dis,hori,left,"[99999,99999]","[150,0]",up,0,4,0,4,0,1,Arya,2025-03-17_12h11.36.680,SL_base,2021.2.3,Win32,59.88023952,1.3242,,,,,,,,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[-106,106],[-150,0]]",circle,green,vert,up,"[-106,106]","[-150,0]",,0,5,0,5,0,1,Arya,2025-03-17_12h11.36.680,SL_base,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[-106,-106],[150,0]]",diamond,red,vert,up,"[-106,-106]","[150,0]",,0,6,0,6,0,1,Arya,2025-03-17_12h11.36.680,SL_base,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[-106,-106],[106,106]]",diamond,green,hori,left,"[-106,-106]","[106,106]",,0,7,0,7,0,1,Arya,2025-03-17_12h11.36.680,SL_base,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[106,-106],[150,0]]",circle,red,vert,up,"[106,-106]","[150,0]",up,1,8,0,8,0,1,Arya,2025-03-17_12h11.36.680,SL_base,2021.2.3,Win32,59.88023952,1.5611,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[-106,106]]",circle,no_dis,hori,left,"[99999,99999]","[-106,106]",left,1,9,0,9,0,1,Arya,2025-03-17_12h11.36.680,SL_base,2021.2.3,Win32,59.88023952,1.4305,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[0,-150]]",diamond,no_dis,hori,left,"[99999,99999]","[0,-150]",left,1,,,,,,Arya,2025-03-17_12h11.36.680,SL_base,2021.2.3,Win32,59.88023952,1.2974,space,5.8438,0,0,0,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[106,-106],[0,150]]",diamond,red,vert,up,"[106,-106]","[0,150]",up,1,,,,,,Arya,2025-03-17_12h11.36.680,SL_base,2021.2.3,Win32,59.88023952,1.2361,,,1,0,1,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[106,106]]",diamond,no_dis,hori,left,"[99999,99999]","[106,106]",left,1,,,,,,Arya,2025-03-17_12h11.36.680,SL_base,2021.2.3,Win32,59.88023952,1.0501,,,2,0,2,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""hori"",""left"",[99999,99999],[106,-106]]",diamond,no_dis,hori,left,"[99999,99999]","[106,-106]",left,1,,,,,,Arya,2025-03-17_12h11.36.680,SL_base,2021.2.3,Win32,59.88023952,1.3102,,,3,0,3,0,1,,,,,,,,
