﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,45.6058,"[""diamond"",""red"",""hori"",""left"",[0,150],[-106,106]]",diamond,red,hori,left,"[0,150]","[-106,106]",,0,0,0,0,0,1,001,2025-03-11_12h31.12.779,SL_base,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,
,,"[""circle"",""green"",""vert"",""up"",[150,0],[-150,0]]",circle,green,vert,up,"[150,0]","[-150,0]",,0,1,0,1,0,1,001,2025-03-11_12h31.12.779,SL_base,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[-106,-106]]",circle,no_dis,vert,up,"[99999,99999]","[-106,-106]",,0,2,0,2,0,1,001,2025-03-11_12h31.12.779,SL_base,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-150,0],[-106,-106]]",circle,red,vert,up,"[-150,0]","[-106,-106]",,0,3,0,3,0,1,001,2025-03-11_12h31.12.779,SL_base,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[106,106],[0,-150]]",circle,green,hori,left,"[106,106]","[0,-150]",up,0,4,0,4,0,1,001,2025-03-11_12h31.12.779,SL_base,2021.2.3,Win32,60.24096386,1.3697,,,,,,,,,,,,,,,
,,"[""circle"",""green"",""hori"",""left"",[-106,-106],[0,-150]]",circle,green,hori,left,"[-106,-106]","[0,-150]",up,0,5,0,5,0,1,001,2025-03-11_12h31.12.779,SL_base,2021.2.3,Win32,60.24096386,1.2558,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-106,106],[106,106]]",circle,red,vert,up,"[-106,106]","[106,106]",,0,6,0,6,0,1,001,2025-03-11_12h31.12.779,SL_base,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,150],[150,0]]",circle,red,hori,left,"[0,150]","[150,0]",,0,7,0,7,0,1,001,2025-03-11_12h31.12.779,SL_base,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[0,-150],[106,-106]]",diamond,red,hori,left,"[0,-150]","[106,-106]",left,1,8,0,8,0,1,001,2025-03-11_12h31.12.779,SL_base,2021.2.3,Win32,60.24096386,0.9897,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[0,150],[-106,-106]]",circle,red,hori,left,"[0,150]","[-106,-106]",left,1,9,0,9,0,1,001,2025-03-11_12h31.12.779,SL_base,2021.2.3,Win32,60.24096386,2.085,,,,,,,,,,,,,,,
