﻿key_resp.keys,key_resp.rt,trial_para,tar_shape,dis_color_condi,tar_line,cor_resp,dis_loc,tar_loc,resp.keys,resp.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,participant,date,expName,psychopyVersion,OS,frameRate,resp.rt,key_resp_2.keys,key_resp_2.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,block_num,key_resp_3.keys,key_resp_3.rt,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran
space,21.5373,"[""diamond"",""red"",""vert"",""up"",[0,-150],[-106,106]]",diamond,red,vert,up,"[0,-150]","[-106,106]",,0,0,0,0,0,1,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[0,150],[106,-106]]",diamond,green,vert,up,"[0,150]","[106,-106]",up,1,1,0,1,0,1,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,1.6624,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-106,106],[0,-150]]",circle,red,vert,up,"[-106,106]","[0,-150]",,0,2,0,2,0,1,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",diamond,no_dis,vert,up,"[99999,99999]","[0,-150]",up,1,3,0,3,0,1,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,2.865,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[150,0],[106,-106]]",circle,red,vert,up,"[150,0]","[106,-106]",left,0,4,0,4,0,1,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,1.5588,,,,,,,,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[-150,0]]",circle,no_dis,vert,up,"[99999,99999]","[-150,0]",up,1,5,0,5,0,1,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,0.9541,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[-150,0],[-106,106]]",diamond,red,hori,left,"[-150,0]","[-106,106]",up,0,6,0,6,0,1,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,2.1237,,,,,,,,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[106,106],[-150,0]]",diamond,green,hori,left,"[106,106]","[-150,0]",left,1,7,0,7,0,1,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,1.5653,,,,,,,,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-106,-106]]",diamond,no_dis,vert,up,"[99999,99999]","[-106,-106]",up,1,8,0,8,0,1,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,1.3083,,,,,,,,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[150,0],[106,106]]",circle,red,hori,left,"[150,0]","[106,106]",left,1,9,0,9,0,1,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,1.6146,,,,,,,,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[0,-150],[-106,106]]",diamond,red,vert,up,"[0,-150]","[-106,106]",up,1,,,,,,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,1.0709,space,4.274,0,0,0,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[0,150],[106,-106]]",diamond,green,vert,up,"[0,150]","[106,-106]",up,1,,,,,,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,1.1337,,,1,0,1,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-106,106],[0,-150]]",circle,red,vert,up,"[-106,106]","[0,-150]",up,1,,,,,,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,1.7837,,,2,0,2,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",diamond,no_dis,vert,up,"[99999,99999]","[0,-150]",up,1,,,,,,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,1.5334,,,3,0,3,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[150,0],[106,-106]]",circle,red,vert,up,"[150,0]","[106,-106]",up,1,,,,,,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,1.0835,,,4,0,4,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""vert"",""up"",[99999,99999],[-150,0]]",circle,no_dis,vert,up,"[99999,99999]","[-150,0]",up,1,,,,,,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,0.9405,,,5,0,5,0,1,,,,,,,,
,,"[""diamond"",""red"",""hori"",""left"",[-150,0],[-106,106]]",diamond,red,hori,left,"[-150,0]","[-106,106]",up,0,,,,,,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,0.9601,,,6,0,6,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[106,106],[-150,0]]",diamond,green,hori,left,"[106,106]","[-150,0]",left,1,,,,,,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,1.8,,,7,0,7,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[-106,-106]]",diamond,no_dis,vert,up,"[99999,99999]","[-106,-106]",up,1,,,,,,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,1.6163,,,8,0,8,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[150,0],[106,106]]",circle,red,hori,left,"[150,0]","[106,106]",left,1,,,,,,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,2.202,,,9,0,9,0,1,,,,,,,,
,,"[""diamond"",""red"",""vert"",""up"",[150,0],[0,-150]]",diamond,red,vert,up,"[150,0]","[0,-150]",up,1,,,,,,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,1.667,,,10,0,10,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[-150,0],[-106,106]]",circle,red,hori,left,"[-150,0]","[-106,106]",left,1,,,,,,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,2.2167,,,11,0,11,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[-150,0]]",circle,no_dis,hori,left,"[99999,99999]","[-150,0]",left,1,,,,,,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,0.9337,,,12,0,12,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[106,106]]",circle,no_dis,hori,left,"[99999,99999]","[106,106]",left,1,,,,,,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,1.3671,,,13,0,13,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[106,-106],[0,-150]]",circle,red,hori,left,"[106,-106]","[0,-150]",left,1,,,,,,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,1.2337,,,14,0,14,0,1,,,,,,,,
,,"[""circle"",""red"",""hori"",""left"",[150,0],[-150,0]]",circle,red,hori,left,"[150,0]","[-150,0]",left,1,,,,,,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,0.9092,,,15,0,15,0,1,,,,,,,,
,,"[""circle"",""no_dis"",""hori"",""left"",[99999,99999],[106,106]]",circle,no_dis,hori,left,"[99999,99999]","[106,106]",left,1,,,,,,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,1.4493,,,16,0,16,0,1,,,,,,,,
,,"[""diamond"",""no_dis"",""vert"",""up"",[99999,99999],[0,-150]]",diamond,no_dis,vert,up,"[99999,99999]","[0,-150]",up,1,,,,,,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,1.199,,,17,0,17,0,1,,,,,,,,
,,"[""circle"",""red"",""vert"",""up"",[-106,106],[150,0]]",circle,red,vert,up,"[-106,106]","[150,0]",up,1,,,,,,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,1.2778,,,18,0,18,0,1,,,,,,,,
,,"[""diamond"",""green"",""vert"",""up"",[0,150],[-150,0]]",diamond,green,vert,up,"[0,150]","[-150,0]",up,1,,,,,,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,1.7212,,,19,0,19,0,1,,,,,,,,
,,"[""diamond"",""green"",""hori"",""left"",[106,106],[0,150]]",diamond,green,hori,left,"[106,106]","[0,150]",left,1,,,,,,001,2025-03-10_19h19.36.389,SL_base,2021.2.3,Win32,59.88023952,1.6865,,,20,0,20,0,1,,,,,,,,
